접수번호,접수날짜,제조일자,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품,수리비용,수리비용청구여부
SL21777,2021-09-06,2021-01-20,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL21778,2023-01-03,2022-08-15,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL21779,2022-07-23,2022-07-18,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL21780,2022-08-16,2022-06-13,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL21781,2021-10-15,2021-09-20,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL21782,2023-03-19,2023-03-10,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL21783,2021-07-10,2021-03-05,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
SL21784,2021-05-23,2021-04-03,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구
SL21785,2023-02-20,2022-05-06,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL21786,2023-03-23,2022-06-08,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
