,접수번호,접수날짜,제조일자,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품,수리비용,수리비용청구여부,제조년,접수년
14,SL21574,2022-08-30,2022-03-31,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2022,2022
15,SL21575,2022-05-12,2021-01-24,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022
16,SL21576,2022-08-03,2022-01-04,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
17,SL21577,2022-05-04,2021-11-19,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
18,SL21578,2023-01-09,2023-01-06,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023
19,SL21579,2021-07-05,2020-10-06,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2020,2021
20,SL21580,2022-07-24,2022-07-05,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
21,SL21581,2022-05-15,2022-04-30,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
22,SL21582,2021-12-26,2020-09-04,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2020,2021
23,SL21583,2022-04-03,2021-10-21,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
24,SL21584,2022-05-30,2021-08-18,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2021,2022
25,SL21585,2022-08-31,2022-08-22,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
26,SL21586,2021-05-02,2021-04-24,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
27,SL21587,2022-08-20,2021-12-05,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
28,SL21588,2021-05-15,2021-04-30,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2021,2021
29,SL21589,2022-12-23,2022-12-06,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
30,SL21590,2023-05-28,2022-02-13,기능,전원,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000,2022,2023
31,SL21591,2022-03-22,2021-12-16,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
32,SL21592,2022-06-13,2021-12-25,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
33,SL21593,2021-08-17,2021-07-18,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
34,SL21594,2022-11-18,2022-06-29,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2022,2022
35,SL21595,2022-08-27,2022-08-10,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
36,SL21596,2022-06-04,2022-02-23,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022
37,SL21597,2022-08-03,2021-06-18,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2021,2022
38,SL21598,2021-10-22,2021-01-13,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
39,SL21599,2021-11-13,2021-09-29,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2021
40,SL21600,2022-11-21,2022-08-08,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
41,SL21601,2022-05-14,2021-04-07,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
42,SL21602,2022-08-01,2022-07-17,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
43,SL21603,2022-01-10,2021-12-15,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2022
44,SL21604,2021-11-10,2021-11-04,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
45,SL21605,2022-06-23,2022-06-17,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
46,SL21606,2022-07-17,2021-10-19,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구,2021,2022
47,SL21607,2022-01-02,2020-12-01,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2022
48,SL21608,2021-08-29,2020-09-07,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2020,2021
49,SL21609,2022-02-11,2022-01-24,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2022,2022
50,SL21610,2021-07-23,2021-01-22,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2021,2021
51,SL21611,2022-06-07,2021-07-21,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2022
52,SL21612,2022-12-01,2021-11-01,기능,전원,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000,2021,2022
53,SL21613,2022-08-28,2022-08-10,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
54,SL21614,2022-09-08,2021-08-30,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
55,SL21615,2022-07-08,2022-06-27,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
56,SL21616,2021-10-08,2021-02-08,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2021,2021
57,SL21617,2021-11-26,2021-06-06,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2021,2021
58,SL21618,2021-09-04,2020-05-20,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
59,SL21619,2021-06-07,2020-07-27,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2020,2021
60,SL21620,2021-11-15,2020-12-03,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2020,2021
61,SL21621,2021-08-16,2020-06-27,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
62,SL21622,2022-03-07,2021-11-27,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
63,SL21623,2021-10-08,2021-06-25,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021
64,SL21624,2023-05-07,2022-03-06,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2022,2023
65,SL21625,2021-11-01,2021-08-09,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
66,SL21626,2022-12-25,2022-09-05,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2022
67,SL21627,2021-08-16,2021-05-14,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2021
68,SL21628,2022-01-03,2021-12-23,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2022
69,SL21629,2021-05-24,2020-03-20,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
70,SL21630,2021-10-10,2020-12-10,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2020,2021
71,SL21631,2023-04-22,2023-03-25,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023
72,SL21632,2021-12-25,2021-12-22,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
73,SL21633,2022-02-08,2021-10-14,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2021,2022
74,SL21634,2023-01-17,2022-07-07,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구,2022,2023
75,SL21635,2021-05-24,2021-05-19,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
76,SL21636,2022-03-30,2021-05-16,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2022
77,SL21637,2022-08-25,2021-12-09,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2021,2022
78,SL21638,2021-06-02,2021-02-16,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
79,SL21639,2022-01-09,2020-12-03,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2020,2022
80,SL21640,2022-09-22,2022-06-30,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2022
81,SL21641,2023-02-11,2022-07-29,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2023
82,SL21642,2022-08-06,2022-02-01,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
83,SL21643,2022-12-18,2022-07-13,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
84,SL21644,2023-05-08,2023-04-13,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023
85,SL21645,2022-06-01,2021-02-07,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
86,SL21646,2023-04-05,2023-01-23,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2023,2023
87,SL21647,2021-11-06,2021-07-17,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2021,2021
88,SL21648,2021-09-30,2021-09-19,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
89,SL21649,2022-09-30,2022-08-20,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
90,SL21650,2023-05-09,2022-07-14,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
91,SL21651,2023-04-20,2023-03-24,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023
92,SL21652,2022-03-07,2021-10-14,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
93,SL21653,2021-10-06,2021-09-22,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021
94,SL21654,2021-05-08,2020-10-18,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
95,SL21655,2022-03-15,2021-08-09,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2022
96,SL21656,2022-06-08,2022-05-30,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
97,SL21657,2021-07-20,2020-11-24,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2020,2021
98,SL21658,2022-05-22,2022-04-27,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
99,SL21659,2021-07-02,2021-06-25,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
100,SL21660,2021-06-14,2021-01-21,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구,2021,2021
101,SL21661,2021-09-30,2021-09-18,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
102,SL21662,2021-07-10,2021-06-24,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
103,SL21663,2021-06-18,2020-10-06,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2020,2021
104,SL21664,2022-10-20,2022-09-16,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
105,SL21665,2022-03-18,2021-06-29,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
106,SL21666,2022-05-28,2021-11-25,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
107,SL21667,2022-04-18,2021-05-19,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
108,SL21668,2022-12-17,2022-12-01,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022
109,SL21669,2023-01-11,2022-10-09,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
110,SL21670,2021-07-05,2020-12-20,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2020,2021
111,SL21671,2023-03-20,2023-03-02,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2023,2023
112,SL21672,2022-07-18,2021-12-06,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2022
113,SL21673,2021-09-14,2021-09-04,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
114,SL21674,2022-05-10,2021-10-11,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
115,SL21675,2022-09-09,2021-08-03,기능,화면,백화현상,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
116,SL21676,2022-11-04,2021-12-07,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2022
117,SL21677,2022-01-05,2021-12-27,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2022
118,SL21678,2021-09-01,2020-09-04,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
119,SL21679,2022-01-30,2021-02-01,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2022
120,SL21680,2023-02-22,2022-04-25,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2023
121,SL21681,2022-02-20,2022-01-17,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2022
122,SL21682,2022-10-12,2022-06-05,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
123,SL21683,2023-01-04,2022-10-09,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2022,2023
124,SL21684,2022-12-12,2022-11-21,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
125,SL21685,2022-02-02,2022-01-12,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
126,SL21686,2022-12-06,2022-08-07,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
127,SL21687,2021-10-12,2021-05-03,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2021
128,SL21688,2022-02-23,2021-03-10,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2021,2022
129,SL21689,2021-08-01,2021-01-02,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2021
130,SL21690,2021-08-04,2021-07-19,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
131,SL21691,2023-05-02,2022-04-04,기능,전원,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000,2022,2023
132,SL21692,2022-07-14,2022-07-04,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
133,SL21693,2022-06-30,2021-04-11,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2021,2022
134,SL21694,2023-01-14,2022-11-06,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2022,2023
135,SL21695,2022-04-01,2021-02-28,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022
136,SL21696,2021-11-17,2021-11-07,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
137,SL21697,2022-06-16,2022-02-21,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
138,SL21698,2022-08-06,2021-12-21,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2022
139,SL21699,2021-12-07,2021-05-09,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2021
140,SL21700,2022-06-11,2021-03-20,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2021,2022
141,SL21701,2023-02-21,2022-09-02,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2022,2023
142,SL21702,2022-07-21,2022-06-27,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
143,SL21703,2022-09-11,2021-11-03,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
144,SL21704,2022-06-20,2021-09-03,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2021,2022
145,SL21705,2022-04-30,2021-06-13,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2022
146,SL21706,2023-03-13,2022-02-17,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2022,2023
147,SL21707,2021-12-23,2020-12-15,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021
148,SL21708,2022-06-04,2022-05-07,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
149,SL21709,2022-01-26,2021-05-26,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2022
150,SL21710,2021-07-29,2020-08-11,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2020,2021
151,SL21711,2022-02-26,2022-02-22,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
152,SL21712,2023-01-19,2022-12-25,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2022,2023
153,SL21713,2021-12-29,2021-12-23,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
154,SL21714,2022-08-19,2022-07-24,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
155,SL21715,2022-06-19,2021-11-06,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
156,SL21716,2021-11-30,2020-12-18,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2020,2021
157,SL21717,2021-05-28,2020-07-22,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
158,SL21718,2021-05-07,2020-03-01,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
159,SL21719,2021-06-04,2021-05-12,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
160,SL21720,2023-01-01,2022-05-22,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2023
161,SL21721,2022-10-01,2021-06-12,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022
162,SL21722,2023-03-26,2022-06-19,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구,2022,2023
163,SL21723,2021-10-08,2021-02-04,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
164,SL21724,2022-12-13,2022-11-19,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
165,SL21725,2022-07-15,2021-12-02,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
166,SL21726,2022-01-17,2020-10-25,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2022
167,SL21727,2023-03-17,2023-03-10,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023
168,SL21728,2022-10-11,2021-10-06,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022
169,SL21729,2023-02-17,2022-01-17,기능,버튼,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2022,2023
170,SL21730,2022-12-11,2022-08-14,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2022
171,SL21731,2022-06-18,2021-04-05,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
172,SL21732,2022-10-20,2022-03-30,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
173,SL21733,2021-12-13,2021-09-19,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
174,SL21734,2022-11-27,2022-11-21,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
175,SL21735,2023-04-24,2022-07-17,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
176,SL21736,2021-07-26,2020-08-13,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2020,2021
177,SL21737,2021-06-13,2020-11-03,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구,2020,2021
178,SL21738,2023-04-19,2022-04-10,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2022,2023
179,SL21739,2022-05-06,2022-05-04,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
180,SL21740,2022-04-07,2022-03-21,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2022
181,SL21741,2021-10-03,2020-08-08,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021
182,SL21742,2023-02-24,2023-02-02,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023
183,SL21743,2021-10-14,2021-08-10,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021
184,SL21744,2022-08-09,2021-12-09,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
185,SL21745,2022-12-15,2022-12-05,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
186,SL21746,2021-10-20,2021-10-12,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
187,SL21747,2021-09-18,2021-06-17,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2021,2021
188,SL21748,2021-10-31,2021-10-07,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
189,SL21749,2022-06-02,2022-03-11,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2022,2022
190,SL21750,2022-05-25,2022-05-03,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
191,SL21751,2021-07-30,2021-07-06,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
192,SL21752,2021-12-06,2021-01-13,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2021
193,SL21753,2022-07-01,2022-06-19,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
194,SL21754,2022-05-03,2021-04-16,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022
195,SL21755,2021-11-17,2020-10-16,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
196,SL21756,2021-06-05,2020-11-23,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021
197,SL21757,2022-05-03,2021-08-23,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
198,SL21758,2022-12-20,2021-12-04,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2021,2022
199,SL21759,2022-04-11,2021-09-10,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
