구분,업체명,소재지,객실수,등록일
외국인관광도시민박업,씨사이드하우스,"중구 큰말로 14번길 15, 101호",2,2019-05-27
외국인관광도시민박업,저녁노을,"중구 큰말로 161번길 16, 202호",1,2019-05-27
외국인관광도시민박업,민하우스,"중구 운서로7번길, 37 2층(운서동)",3,2019-06-04
외국인관광도시민박업,까사디오 더 퍼스트,"중구 화랑목로100번길 55, 301호",2,2019-07-30
외국인관광도시민박업,바다길 따라,중구 대무의로 363-1,4,2019-07-30
외국인관광도시민박업,K-HOUS,"부평구 길주로602번길 27, 301호(부평동)",2,2019-10-02
외국인관광도시민박업,뱀부하우스,중구 신도시북로140번길 47(운서동),2,2019-10-07
외국인관광도시민박업,DK&amp JUNEs hous,"부평구 길주로494번길 12, 3동 1302호(청천동,쌍용아파트)",1,2019-10-12
외국인관광도시민박업,모닝하우스,"서구 푸른로 13, 301호(청라동)",2,2020-01-19
외국인관광도시민박업,수지 스튜디오,"서구 가남로 407-6, 201호(가정동)",1,2020-01-23
외국인관광도시민박업,에스에이치 게스트하우스,"핸내로안길 48-6, 202호(운서동)",2,2020-01-23
외국인관광도시민박업,킴스게스트하우스,"중구 햇내로안길 22-12,  301호(운서동)",2,2020-02-18
외국인관광도시민박업,피렌체,"중구 운서로7번길 4-9, 301호(운서동)",3,2020-03-06
외국인관광도시민박업,그린하우스,"중구 미단행복로 59, 202호(운북동)",1,2020-07-14
외국인관광도시민박업,왕산해변의집(W-Beach House),중구 왕산로 68-24,1,2020-12-16
외국인관광도시민박업,슈가,중구 미단행복로88 203호,1,2021-07-30
외국인관광도시민박업,트윈하우스,"중구 해맞이길 41, 201호",1,2021-02-17
외국인관광도시민박업,써니하우스,"중구 해맞이길 41, 202호",1,2021-02-17
외국인관광도시민박업,for. Rest(포레스트),중구 백운로안길 56,1,2021-02-19
외국인관광도시민박업,The H,"부평구 충선로14, 203호(부평동, 신원하이츠빌)",2,2021-04-28
외국인관광도시민박업,까사미단,"중구 미단뉴타운로26번길 23, 301호",1,2021-05-06
외국인관광도시민박업,루프탑,서구 청서로16번길 12,4,2021-05-18
외국인관광도시민박업,아야미게스트하우스,중구 백운로 387번길 21-5(운북동),2,2021-06-08
외국인관광도시민박업,행복한 시간,"중구 미단행복로54, 302호",1,2021-06-25
외국인관광도시민박업,청라아지트,"서구 청라라임로 122번길 8, 201호",1,2021-10-20
외국인관광도시민박업,아테나풀하우스,중구 해맞이길 11 301호,2,2022-01-18
외국인관광도시민박업,트리하우스운서,"중구 모랫말로16번길 17, 201호",4,2022-07-21
외국인관광도시민박업,로버 게스트하우스,중구 신포로23번길 62(중앙동1가),2,2022-07-07
외국인관광도시민박업,에이치유비게스트하우스,중구 백년로9번길 8-1,4,2022-06-17
외국인관광도시민박업,요리요리 stay,"부평구 경인로 701번길 79, 201호(십정동)",1,2022-06-24
외국인관광도시민박업,스테이하우스,중구 해맞이길21 201호,1,2022-08-12
관광호텔업,홀리데이인 송도호텔,연수구 타워대로 251,202,2017-12-06
관광호텔업,파라다이스시티,중구 영종 해안남로321번길 186,769,2017-12-06
관광호텔업,더프린스호텔,중구 을왕로58번길 5,41,2017-12-06
관광호텔업,호텔 반월,남동구 선수촌공원로 17번길 6,76,2017-12-06
관광호텔업,vow관광호텔,계양구 계양문화로59번길 9,73,2017-12-06
관광호텔업,세븐호텔,중구 신포로23번길 3(중앙동4가 2-9),35,2017-12-06
관광호텔업,펜타스타호텔,서구 오류로14번길 23(오류동),40,2017-12-06
관광호텔업,3S Boutique Hotel,서구 원당대로 874 (당하동),105,2017-12-06
관광호텔업,호텔소프라,서구 서곶로301번길 21(심곡동),148,2017-12-06
관광호텔업,호텔카리스,계양구 계양대로 28(작전동),142,2017-12-06
관광호텔업,반도관광호텔,계양구 계양문화로17번길 8(작전동),50,2017-12-06
관광호텔업,아마레관광호텔,계양구 장제로730번길 14(작전동),67,2017-12-06
관광호텔업,리버관광호텔, 계양구 계양문화로53번길 6,63,2017-12-06
관광호텔업,호텔 에버리치,강화군 강화읍 화성길50번길 43,70,2017-12-06
관광호텔업,프레시아관광호텔,강화군 길상면 전등사로 41,40,2017-12-06
관광호텔업,호텔시애틀 공항점,중구 신도시남로150번길 8,42,2017-12-06
관광호텔업,그랜드하얏트이스트타워,중구 영종해안남로321번길 208,523,2017-12-06
관광호텔업,베스트웨스턴프리미어에어포트호텔,중구 공항로424번길 48-27(운서동),305,2017-12-06
관광호텔업,그랜드하얏트웨스트타워,중구 영종해안남로321번길 190(운서동),501,2017-12-06
관광호텔업,호텔준,중구 신도시남로150번길18,48,2017-12-06
관광호텔업,제우메스(헤르메스)관광호텔,중구 흰바위로59번길 31,60,2017-12-06
관광호텔업,공항호텔,중구 신도시남로149번길 11,40,2017-12-06
관광호텔업,네스트호텔(NEST HOTEL),중구 영종해안남로 19-5(운서동),370,2017-12-06
관광호텔업,쉐라톤그랜드호텔,연수구 컨벤시아대로 153,321,2017-12-06
관광호텔업,오라카이송도파크호텔,연수구 테크노파크로 151,275,2017-12-06
관광호텔업,송도센트럴파크호텔,연수구 테크노파크로 193,300,2017-12-06
관광호텔업,썬플라워 관광호텔,미추홀구 주안중로 22-1 (주안동),50,2017-12-06
관광호텔업,라미드 송도호텔(주),연수구 능허대로267번길 29 (동춘동),204,2017-12-06
관광호텔업,브라운 도트호텔 송도,연수구 능허대로 227-7 (옥련동),78,2017-12-06
관광호텔업,파이호텔,남동구 석촌로46번길 47 (간석동),62,2017-12-06
관광호텔업,폴로관광호텔,남동구 앵고개로934번길 30 (논현동),48,2017-12-06
관광호텔업,SJ Design 관광호텔,남동구 소래역로 26-16 (논현동),53,2017-12-06
관광호텔업,센트럴프라자호텔,"남동구 예술로204번길 15(구월동,센트럴프라자호텔)",118,2017-12-06
관광호텔업,골든호텔,남동구 석촌로 57(간석동),79,2017-12-06
관광호텔업,호텔라트리,남동구 인하로507번길 50 (구월동),54,2017-12-06
관광호텔업,호텔더디자이너스,남동구 남동대로765번길 8 (구월동),103,2017-12-06
관광호텔업,소래호텔카카오(CACAO HOTEL),남동구 앵고개로 948번길48(논현동),70,2017-12-06
관광호텔업,엠플레이스호텔,남동구 인하로 507번길 56(구월동),66,2017-12-06
관광호텔업,쵸이스관광호텔,서구 서곶로301번길 28 (심곡동),41,2017-12-06
관광호텔업,SG 관광호텔,서구 탁옥로51번길 13-9 (심곡동),67,2017-12-06
관광호텔업,포시즌 관광호텔,서구 탁옥로33번길 15 (심곡동),48,2017-12-06
관광호텔업,시크릿관광호텔,중구 월미로233번길 11,60,2017-12-06
관광호텔업,베니키아 월미도 더 블리스 호텔,중구 월미로 266(북성동1가),88,2017-12-06
관광호텔업,위너스관광호텔,중구 왕산로 40,42,2017-12-06
관광호텔업,파크우드관광호텔,중구 마시란로 34,52,2017-12-06
관광호텔업,오션사이드관광호텔,중구 마시란로 40,53,2017-12-06
관광호텔업,프린스(사보이)관광호텔,중구 용유서로172번길 22,31,2017-12-06
관광호텔업,베니키아 바다의 별 호텔,중구 월미로242번길 7-2,44,2017-12-06
관광호텔업,딘 관광호텔,중구 연안부두로43번길 12,41,2017-12-06
관광호텔업,아이네이버관광호텔,중구 월미로243번길 5(북성동1가 98-310),38,2017-12-06
관광호텔업,루비관광호텔 월미도,중구 월미로248번길 1,46,2017-12-06
관광호텔업,더블유호텔(W관광호텔),중구 월미로 211,40,2017-12-06
관광호텔업,MK프리미어스호텔,중구 월미로260번길 12,85,2017-12-06
관광호텔업,영종관광호텔,중구 운중로21번길 8(운남동 507-8),45,2017-12-06
관광호텔업,씨월드관광호텔,중구 용유서로479번길 50-7,36,2017-12-06
관광호텔업,레이관광호텔,중구 을왕로58번길 7,31,2017-12-06
관광호텔업,호텔오션뷰,중구 선녀바위로55번길 13(을왕동),30,2017-12-06
관광호텔업,다이아몬드 호텔,중구 월미로 299,50,2017-12-06
관광호텔업,호텔ORA,중구 공항서로 345,84,2017-12-06
관광호텔업,하버파크호텔,중구 제물량로 217,213,2017-12-06
관광호텔업,BEYOND HOTEL(비욘드 호텔),서구 서곶로301번길 19(심곡동),48,2017-12-18
관광호텔업,해월관광호텔,중구 월미로 260번길 8,96,2017-12-22
관광호텔업,풀문관광호텔,중구 월미로218번길 6,120,2017-12-22
관광호텔업,토요코인 부평,부평구 광장로10(부평동),510,2018-03-22
관광호텔업,파크마린호텔,남동구 소래역로 44,88,2018-06-12
관광호텔업,호텔 원티드,서구 북항로 32번길 20(원창동),91,2018-06-27
관광호텔업,호텔 스카이파크 송도,연수구 컨벤시아대로 233(송도동),241,2018-06-29
관광호텔업,크리스탈 호텔,서구 오류로14번길 22(오류동),48,2018-09-27
관광호텔업,호텔진,남동구 남동대로 777번길 36,64,2019-01-28
관광호텔업,월미도 관광호텔,중구 월미로 274,46,2019-04-15
관광호텔업,호텔498,"연수구 용담로85번길 24, 호텔498",72,2019-11-22
관광호텔업,블루마린호텔,중구 월미로234번길 12,51,2020-02-14
관광호텔업,옐로마린호텔,중구 월미로234번길 10,30,2020-02-14
관광호텔업,호텔그랜드스위트,중구 월미로248번길 2,66,2020-02-14
관광호텔업,이츠관광호텔,중구 연안부두로53번길 15,42,2020-02-17
관광호텔업,호텔베이204,남동구 인하로507번길 21-1,91,2020-12-07
관광호텔업,소울하다 계양,계양구 계양문화로 58,85,2021-04-15
관광호텔업,씨 사이드 관광호텔,중구 을왕동 764번지,30,2021-06-14
관광호텔업,비치 관광호텔,중구 용유서로 373-1,44,2021-10-19
관광호텔업,제이앤파크호텔,중구 용유서로 262-15,80,2021-11-25
한국전통호텔업,경원재 앰배서더 호텔,연수구 테크로파크로 200,30,2017-12-06
한국전통호텔업,연화문호텔을왕,중구 용유서로304번길 12(을왕동 749 외 1),44,2017-12-06
가족호텔업,오크우드프리미어 호텔,연수구 컨벤시아대로 165,423,2017-12-06
가족호텔업,오션스카이 가족호텔,중구 선녀바위로 35,39,2017-12-06
소형호텔업,스텔라마리스 호텔,중구 반달로3번길 16,28,2017-12-06
호스텔업,당나귀호스텔,중구 왕산로48번길 7,8,2017-12-06
호스텔업,에이스,"중구 자유공원로 3-8, 2~3층",6,2017-12-06
호스텔업,해변호스텔,중구 을왕로13번길 5,7,2017-12-06
호스텔업,무의도 빨강지붕 호스텔,중구 대무의로 488,8,2017-12-06
호스텔업,왕산예림 호스텔,중구 용유서로479번길 27-1(을왕동 885-18),5,2017-12-06
호스텔업,엘림비치존 호스텔,중구 용유서로423번길 31-1(을왕동810-191),15,2017-12-06
호스텔업,제이든 29,"중구 용유서로302번길15(을왕동746-13,742-2)",12,2017-12-06
호스텔업,팜비치 호스텔,중구 선녀바위로55번길 10-15,19,2017-12-06
호스텔업,비즈 레지던스,"서구 길주로 79, 10층(석남동, 성한캣슬)",69,2017-12-06
호스텔업,해피하우스,"계양구 계양문화로 54, 7층 701호(계산동)",49,2017-12-06
호스텔업,발리 호스텔,중구 을왕로 58번길 9-6,15,2017-12-06
호스텔업,조이풀 호스텔,중구 왕산로 38번길 7,5,2017-12-06
호스텔업,시선 호스텔,중구 을왕로 58번길 11-1(을왕동 763-28),12,2017-12-06
호스텔업,해오름 호스텔,중구 을왕로 58번길 13-17(을왕동 769-2),15,2017-12-06
호스텔업,별하우스 호스텔,중구 용유서로450번길 62(을왕동 836-5),5,2017-12-06
호스텔업,바다하우스 호스텔,중구 용유서로450번길 64(을왕동 836-2),6,2017-12-06
호스텔업,섬뜰아래 호스텔,중구 대무의로229(무의동276-2),6,2017-12-06
호스텔업,비즈호스텔,"중구 신포로23번길 49, 401호(중앙동3가, 중앙프라자)",69,2017-12-06
호스텔업,휴 호스텔,"중구 선녀바위로55번길 35(을왕동 685-1, 686)",31,2017-12-06
호스텔업,나폴리호스텔,"중구 용유서로 340(을왕동 756-1, 756-3)",28,2017-12-06
호스텔업,델로스호스텔,중구 용유서로 365(을왕동 781),15,2017-12-06
호스텔업,별자리호스텔,중구 선녀바위로55번길 18(을왕동 678-35 외 1),13,2017-12-06
호스텔업,호텔휴로프트,중구 마시란로 51-29(덕교동 128-64 외 1),17,2017-12-06
호스텔업,비치호스텔,중구 을왕로58번길 9,24,2017-12-06
호스텔업,라인호스텔,중구 을왕로58번길 9-4(을왕동 763-24),14,2017-12-06
호스텔업,하나스토리호스텔,중구 용유서로 341,13,2017-12-06
호스텔업,스위스파크 호스텔,중구 을왕로58번길 8 (을왕동 763-12 외 1필지),15,2017-12-06
호스텔업,엔소이 호스텔,"중구 용유서로274번길 28 (을왕동 730-2, 730-5, 730-6)",6,2017-12-06
호스텔업,홀리랜드A 호스텔,중구 을왕동 769-4번지,22,2017-12-06
호스텔업,홀리랜드B 호스텔,중구 을왕동 769-10번지,19,2017-12-06
호스텔업,뉴욕파크 호스텔,중구 을왕로40번길 5(을왕동760번지),14,2017-12-06
호스텔업,맨하탄 호스텔,중구 을왕로58번길 11,18,2017-12-06
호스텔업,포시즌 호스텔,중구 을왕로40번길 10,12,2017-12-06
호스텔업,대명 호스텔,중구 을왕동729-11번지,12,2017-12-06
호스텔업,캐슬파크호스텔,을왕로58번길 10-9(을왕동 763-14),12,2017-12-06
호스텔업,을왕비치호스텔(별관),선녀바위로55번길 17(을왕동 678-133),5,2017-12-06
호스텔업,을왕비치 호스텔(본관),선녀바위로55번길 17(을왕동 678-54),9,2017-12-06
호스텔업,바이드302,중구 용유서로302번길 11,8,2017-12-06
호스텔업,스카이 호스텔,중구 용유서로150,13,2017-12-06
호스텔업,일마레 호스텔,중구 왕산로62,6,2017-12-06
호스텔업,마린캠프 호스텔,중구 용유서로302번길 22(을왕동),13,2018-01-15
호스텔업,바다마을 호스텔,중구 무의동 7,4,2018-01-15
호스텔업,반하다 호스텔,중구 용유서로 518,6,2018-01-15
호스텔업,에이플러스 호스텔,"서구 길주로79, 401호(석남동)",24,2018-01-19
호스텔업,상수리나무아래 호스텔,중구 무의동 423-4번지와 4필지,4,2018-02-05
호스텔업,해변의 꿈 호스텔,중구 무의동 273번지외 2필지,6,2018-02-05
호스텔업,화이트,중구 왕산로 52번길 14,21,2018-04-09
호스텔업,로얄,중구 을왕동 678-42,6,2018-05-04
호스텔업,한라,중구 남북동 888-3,5,2018-05-04
호스텔업,비치힐,중구 을왕동 762-119,8,2018-06-22
호스텔업,비치힐뉴,중구 을왕동 762-121,8,2018-06-22
호스텔업,비치힐뷰,중구 을왕동 762-13,8,2018-06-22
호스텔업,비치힐플러스,중구 을왕동 762-120,8,2018-06-22
호스텔업,을왕동717호스텔,중구 을왕동 717-7,5,2018-11-21
호스텔업,솔나무호스텔,중구 늘목로 30-47(을왕동 79-1),2,2018-08-29
호스텔업,하루가 달고나,중구 용유서로302번길 21-15(을왕동 742-5),4,2018-08-29
호스텔업,해둥실 호스텔,중구 큰무리로 36(무의동 414),18,2018-10-24
호스텔업,옹기종기 호스텔,중구 을왕동 853-3,5,2018-10-26
호스텔업,저맨호스텔,중구 왕산로 53(을왕동),8,2018-11-21
호스텔업,아소프로아,중구 용유서로 302번길 14-6(을왕동 729-2),14,2018-12-10
호스텔업,하늘지기,중구 하나개로 37,9,2019-01-30
호스텔업,바다풍경,중구 선녀바위로 55번길 2(을왕동),12,2019-03-22
호스텔업,써니하우스,중구 대무의로 281,1,2019-06-18
호스텔업,대성,중구 대무의로 258,5,2019-07-18
호스텔업,오늘호스텔,중구 을왕로 11(을왕동 717-7),5,2019-10-06
호스텔업,자니노니,중구 용유서로450번길 9(을왕동 818-3),50,2019-10-07
호스텔업,별빛바다,중구 용유서로480번길 22-12,50,2019-10-07
호스텔업,하늘구름,중구 을왕동 740-1,1,2020-04-08
호스텔업,힛포,중구 선녀바위로55번길 10-4,3,2020-05-04
호스텔업,메누하호스텔,중구 용유서로302번길 21-11(을왕동),2,2020-10-23
호스텔업,백운호스텔,중구 을왕로58번길 14(을왕동),14,2020-10-23
호스텔업,신화스위트리호스텔,"중구 왕산로 70, 신화스위트리팬션(을왕동)",7,2021-02-25
호스텔업,리움호스텔,중구 용유서로 450번길 35(을왕동),6,2021-02-25
호스텔업,푸른솔호스텔,"중구 왕산로57번길 12-7, 푸른솔팬션(을왕동)",5,2021-03-10
호스텔업,블루프로그호텔,중구 을왕로58번길 9,24,2021-05-26
호스텔업,을왕롱비치하우스,중구 용유서로 302번길 14-4,13,2021-06-21
호스텔업,에버뷰,중구 용유서로 348번길 16,15,2021-06-21
호스텔업,어느 멋진날에1,중구 늘목로22번길 57-7,1,2021-07-15
호스텔업,제이든 29-1,중구 용유서로302번길 15,4,2021-07-16
호스텔업,어느 멋진날에2,중구 늘목로22번길 57-3,1,2021-07-16
호스텔업,하나호스텔,중구 용유서로 304번길 6(을왕동),10,2021-09-17
호스텔업,해처럼,중구 왕산로72,6,2021-10-29
호스텔업,꿈호스텔,중구 용유서로 380-18,5,2021-11-03
호스텔업,원더풀호스텔,중구 왕산로 68-16,5,2021-11-03
호스텔업,레드호스텔,중구 왕산로71,3,2022-08-24
휴양콘도미니엄업,TheWeek&amp (더위크앤 리조트),중구 용유서로 379(을왕동 773),184,2017-12-06
